# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.000e-07 5.000e-07 4.110e-07 5.638e-08
      13 4.000e-07 6.000e-07 4.620e-07 5.437e-08
      16 5.000e-07 7.000e-07 5.710e-07 5.531e-08
      20 6.000e-07 8.000e-07 6.650e-07 5.895e-08
      25 7.000e-07 9.000e-07 8.100e-07 6.083e-08
      32 9.000e-07 1.100e-06 9.960e-07 6.151e-08
      40 1.200e-06 1.400e-06 1.278e-06 6.720e-08
      50 1.500e-06 1.800e-06 1.700e-06 7.483e-08
      63 2.100e-06 2.500e-06 2.252e-06 1.072e-07
      79 2.700e-06 3.100e-06 2.938e-06 1.027e-07
     100 3.700e-06 4.100e-06 3.906e-06 1.240e-07
     126 4.900e-06 5.400e-06 5.131e-06 1.440e-07
     158 5.500e-06 6.900e-06 5.994e-06 4.093e-07
     200 7.400e-06 7.900e-06 7.625e-06 1.479e-07
     251 9.700e-06 1.040e-05 1.002e-05 1.652e-07
     316 1.280e-05 1.360e-05 1.323e-05 1.989e-07
     398 1.710e-05 1.790e-05 1.748e-05 2.057e-07
     501 2.270e-05 2.380e-05 2.329e-05 2.687e-07
     631 3.020e-05 3.140e-05 3.079e-05 3.287e-07
     794 3.960e-05 5.050e-05 4.097e-05 2.100e-06
    1000 5.200e-05 5.370e-05 5.282e-05 4.120e-07
    1259 6.880e-05 7.100e-05 6.982e-05 5.480e-07
    1585 9.050e-05 9.310e-05 9.184e-05 6.784e-07
    1995 1.185e-04 1.391e-04 1.234e-04 5.835e-06
    2512 1.549e-04 1.756e-04 1.621e-04 6.869e-06
    3162 2.009e-04 2.183e-04 2.049e-04 3.679e-06
    3981 2.623e-04 3.073e-04 2.711e-04 9.135e-06
    5012 3.274e-04 4.256e-04 3.569e-04 2.015e-05
    6310 4.246e-04 4.904e-04 4.533e-04 1.087e-05
    7943 5.360e-04 6.910e-04 5.910e-04 3.067e-05
   10000 6.944e-04 7.790e-04 7.535e-04 1.824e-05
#------- --------- --------- --------- ---------


