# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.000e-07 6.000e-07 4.910e-07 4.918e-08
      13 5.000e-07 7.000e-07 6.260e-07 5.219e-08
      16 7.000e-07 9.000e-07 7.910e-07 6.180e-08
      20 9.000e-07 1.100e-06 1.027e-06 6.611e-08
      25 1.300e-06 1.600e-06 1.461e-06 8.111e-08
      32 1.800e-06 2.300e-06 2.063e-06 1.270e-07
      40 2.500e-06 3.100e-06 2.801e-06 1.664e-07
      50 3.900e-06 4.600e-06 4.276e-06 1.839e-07
      63 5.800e-06 6.700e-06 6.277e-06 2.293e-07
      79 8.700e-06 9.700e-06 9.217e-06 2.691e-07
     100 1.210e-05 1.400e-05 1.316e-05 4.815e-07
     126 1.780e-05 2.020e-05 1.928e-05 6.235e-07
     158 2.690e-05 2.910e-05 2.814e-05 5.605e-07
     200 2.770e-05 3.300e-05 2.863e-05 6.952e-07
     251 3.960e-05 4.190e-05 4.065e-05 5.647e-07
     316 5.730e-05 5.970e-05 5.846e-05 6.078e-07
     398 8.400e-05 9.190e-05 8.555e-05 1.226e-06
     501 1.479e-04 1.672e-04 1.521e-04 3.789e-06
     631 2.245e-04 3.804e-04 2.656e-04 6.249e-05
     794 3.426e-04 3.667e-04 3.479e-04 5.309e-06
    1000 5.303e-04 8.438e-04 5.576e-04 5.531e-05
    1259 8.253e-04 1.399e-03 8.514e-04 7.194e-05
    1585 1.289e-03 1.898e-03 1.347e-03 1.194e-04
    1995 2.025e-03 3.528e-03 2.529e-03 6.086e-04
    2512 3.172e-03 4.618e-03 3.311e-03 2.906e-04
    3162 4.999e-03 5.788e-03 5.220e-03 2.216e-04
    3981 7.852e-03 8.757e-03 8.071e-03 2.487e-04
    5012 1.240e-02 1.550e-02 1.313e-02 6.560e-04
    6310 1.960e-02 2.320e-02 2.036e-02 7.381e-04
    7943 2.426e-02 2.978e-02 2.582e-02 1.394e-03
   10000 3.863e-02 4.871e-02 4.119e-02 2.495e-03
#------- --------- --------- --------- ---------


