# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.000e-07 5.000e-07 4.300e-07 4.583e-08
      13 4.000e-07 6.000e-07 5.110e-07 4.877e-08
      16 5.000e-07 7.000e-07 5.570e-07 5.875e-08
      20 6.000e-07 8.000e-07 7.190e-07 4.836e-08
      25 8.000e-07 1.000e-06 9.020e-07 4.895e-08
      32 1.100e-06 1.300e-06 1.155e-06 5.723e-08
      40 1.300e-06 1.500e-06 1.431e-06 6.884e-08
      50 1.500e-06 1.900e-06 1.716e-06 1.214e-07
      63 2.100e-06 2.500e-06 2.323e-06 1.094e-07
      79 2.800e-06 3.300e-06 3.079e-06 1.351e-07
     100 3.300e-06 4.200e-06 3.749e-06 2.385e-07
     126 4.600e-06 5.300e-06 4.902e-06 1.838e-07
     158 6.200e-06 6.900e-06 6.538e-06 1.599e-07
     200 7.900e-06 9.100e-06 8.598e-06 3.212e-07
     251 9.600e-06 1.200e-05 1.102e-05 6.598e-07
     316 1.240e-05 1.540e-05 1.368e-05 7.366e-07
     398 1.600e-05 2.030e-05 1.750e-05 1.417e-06
     501 2.120e-05 3.830e-05 2.439e-05 2.452e-06
     631 2.760e-05 3.430e-05 3.050e-05 2.363e-06
     794 3.600e-05 4.390e-05 3.861e-05 2.569e-06
    1000 4.750e-05 6.780e-05 5.256e-05 5.649e-06
    1259 6.180e-05 8.130e-05 7.087e-05 6.546e-06
    1585 7.980e-05 8.990e-05 8.191e-05 2.659e-06
    1995 1.038e-04 1.296e-04 1.117e-04 9.548e-06
    2512 1.336e-04 1.486e-04 1.358e-04 2.782e-06
    3162 1.729e-04 1.954e-04 1.757e-04 4.786e-06
    3981 2.244e-04 2.384e-04 2.278e-04 3.587e-06
    5012 2.895e-04 3.262e-04 2.948e-04 6.677e-06
    6310 3.738e-04 4.615e-04 3.873e-04 2.133e-05
    7943 4.838e-04 5.717e-04 4.944e-04 1.795e-05
   10000 6.233e-04 8.006e-04 6.575e-04 5.315e-05
#------- --------- --------- --------- ---------


