# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.000e-07 3.000e-07 2.820e-07 3.842e-08
      13 3.000e-07 3.000e-07 3.000e-07 4.974e-16
      16 3.000e-07 4.000e-07 3.320e-07 4.665e-08
      20 4.000e-07 4.000e-07 4.000e-07 1.643e-15
      25 4.000e-07 5.000e-07 4.730e-07 4.440e-08
      32 5.000e-07 6.000e-07 5.550e-07 4.975e-08
      40 6.000e-07 7.000e-07 6.730e-07 4.440e-08
      50 8.000e-07 9.000e-07 8.570e-07 4.951e-08
      63 1.000e-06 1.200e-06 1.110e-06 3.873e-08
      79 1.400e-06 1.600e-06 1.482e-06 4.976e-08
     100 1.900e-06 2.600e-06 2.210e-06 2.317e-07
     126 3.400e-06 3.800e-06 3.573e-06 1.148e-07
     158 4.900e-06 5.400e-06 5.165e-06 1.577e-07
     200 7.300e-06 8.200e-06 7.763e-06 2.162e-07
     251 1.100e-05 1.200e-05 1.156e-05 2.536e-07
     316 1.210e-05 1.730e-05 1.287e-05 1.125e-06
     398 2.550e-05 2.760e-05 2.654e-05 5.459e-07
     501 2.740e-05 2.980e-05 2.853e-05 5.013e-07
     631 4.190e-05 4.480e-05 4.338e-05 7.451e-07
     794 6.580e-05 1.005e-04 8.176e-05 1.516e-05
    1000 1.010e-04 1.073e-04 1.040e-04 1.471e-06
    1259 1.572e-04 2.423e-04 1.769e-04 2.988e-05
    1585 2.478e-04 3.815e-04 2.727e-04 4.140e-05
    1995 3.885e-04 5.882e-04 4.138e-04 4.601e-05
    2512 6.135e-04 1.007e-03 6.775e-04 9.958e-05
    3162 9.612e-04 1.515e-03 1.075e-03 1.652e-04
    3981 1.541e-03 2.731e-03 1.805e-03 3.258e-04
    5012 2.454e-03 4.479e-03 3.072e-03 5.670e-04
    6310 3.930e-03 7.055e-03 4.883e-03 9.241e-04
    7943 6.118e-03 8.838e-03 6.738e-03 6.666e-04
   10000 9.668e-03 1.230e-02 1.047e-02 7.473e-04
#------- --------- --------- --------- ---------


