# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.000e-07 3.000e-07 2.830e-07 3.756e-08
      13 3.000e-07 3.000e-07 3.000e-07 0.000e+00
      16 3.000e-07 4.000e-07 3.360e-07 4.800e-08
      20 3.000e-07 4.000e-07 3.910e-07 2.862e-08
      25 4.000e-07 5.000e-07 4.620e-07 4.854e-08
      32 5.000e-07 6.000e-07 5.370e-07 4.828e-08
      40 7.000e-07 9.000e-07 7.920e-07 4.400e-08
      50 9.000e-07 1.000e-06 9.800e-07 4.000e-08
      63 1.100e-06 1.400e-06 1.256e-06 7.526e-08
      79 1.600e-06 2.000e-06 1.788e-06 1.478e-07
     100 2.500e-06 3.000e-06 2.771e-06 1.321e-07
     126 3.500e-06 4.100e-06 3.828e-06 1.594e-07
     158 3.800e-06 5.300e-06 4.139e-06 5.073e-07
     200 5.100e-06 5.300e-06 5.215e-06 6.384e-08
     251 6.500e-06 6.800e-06 6.648e-06 8.424e-08
     316 8.900e-06 9.500e-06 9.159e-06 1.575e-07
     398 1.190e-05 1.280e-05 1.220e-05 2.390e-07
     501 1.520e-05 1.770e-05 1.557e-05 3.946e-07
     631 2.070e-05 2.800e-05 2.280e-05 2.032e-06
     794 2.730e-05 3.270e-05 2.817e-05 1.122e-06
    1000 3.510e-05 4.120e-05 3.697e-05 1.592e-06
    1259 4.630e-05 6.210e-05 5.075e-05 4.577e-06
    1585 6.190e-05 7.650e-05 6.407e-05 3.882e-06
    1995 7.910e-05 1.055e-04 8.894e-05 9.136e-06
    2512 1.033e-04 1.084e-04 1.055e-04 1.814e-06
    3162 1.383e-04 1.975e-04 1.494e-04 1.521e-05
    3981 1.765e-04 2.389e-04 2.149e-04 2.039e-05
    5012 2.276e-04 2.820e-04 2.389e-04 1.484e-05
    6310 3.041e-04 3.616e-04 3.150e-04 1.273e-05
    7943 3.875e-04 4.551e-04 4.021e-04 1.360e-05
   10000 4.975e-04 6.227e-04 5.216e-04 2.803e-05
#------- --------- --------- --------- ---------


