# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.000e-07 4.000e-07 3.450e-07 4.975e-08
      13 3.000e-07 5.000e-07 3.890e-07 4.449e-08
      16 4.000e-07 5.000e-07 4.450e-07 4.975e-08
      20 5.000e-07 6.000e-07 5.660e-07 4.737e-08
      25 6.000e-07 8.000e-07 6.830e-07 5.667e-08
      32 7.000e-07 9.000e-07 8.300e-07 5.916e-08
      40 9.000e-07 1.100e-06 9.940e-07 7.324e-08
      50 1.200e-06 1.500e-06 1.302e-06 8.122e-08
      63 1.500e-06 1.900e-06 1.645e-06 1.071e-07
      79 2.100e-06 2.400e-06 2.248e-06 9.537e-08
     100 2.800e-06 3.200e-06 2.958e-06 1.060e-07
     126 3.600e-06 4.000e-06 3.820e-06 1.077e-07
     158 4.800e-06 5.300e-06 5.043e-06 1.313e-07
     200 5.200e-06 6.700e-06 5.721e-06 4.320e-07
     251 6.700e-06 7.200e-06 6.960e-06 1.442e-07
     316 8.800e-06 9.500e-06 9.228e-06 1.563e-07
     398 1.170e-05 1.410e-05 1.261e-05 7.688e-07
     501 1.540e-05 1.630e-05 1.584e-05 2.146e-07
     631 2.020e-05 2.160e-05 2.075e-05 3.028e-07
     794 2.620e-05 2.860e-05 2.701e-05 5.093e-07
    1000 3.410e-05 3.660e-05 3.510e-05 4.941e-07
    1259 4.450e-05 5.100e-05 4.598e-05 1.090e-06
    1585 5.790e-05 6.540e-05 5.968e-05 1.337e-06
    1995 7.590e-05 8.300e-05 7.785e-05 1.501e-06
    2512 9.830e-05 1.169e-04 1.011e-04 3.446e-06
    3162 1.291e-04 1.615e-04 1.437e-04 1.186e-05
    3981 1.669e-04 2.067e-04 1.727e-04 7.845e-06
    5012 2.191e-04 2.802e-04 2.525e-04 1.838e-05
    6310 2.781e-04 3.144e-04 2.872e-04 7.270e-06
    7943 3.617e-04 3.967e-04 3.737e-04 7.790e-06
   10000 4.668e-04 5.801e-04 4.918e-04 2.764e-05
#------- --------- --------- --------- ---------


