# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.000e-07 3.000e-07 2.520e-07 4.996e-08
      13 2.000e-07 3.000e-07 2.510e-07 4.999e-08
      16 3.000e-07 3.000e-07 3.000e-07 0.000e+00
      20 3.000e-07 4.000e-07 3.740e-07 4.386e-08
      25 4.000e-07 5.000e-07 4.590e-07 4.918e-08
      32 6.000e-07 7.000e-07 6.170e-07 3.756e-08
      40 8.000e-07 9.000e-07 8.710e-07 4.538e-08
      50 1.200e-06 2.100e-06 1.344e-06 1.840e-07
      63 2.000e-06 3.400e-06 3.032e-06 4.207e-07
      79 3.100e-06 5.300e-06 4.382e-06 7.598e-07
     100 7.600e-06 8.400e-06 7.997e-06 1.957e-07
     126 7.500e-06 1.230e-05 9.859e-06 1.837e-06
     158 1.170e-05 1.280e-05 1.219e-05 2.943e-07
     200 1.860e-05 2.030e-05 1.939e-05 4.412e-07
     251 2.970e-05 3.200e-05 3.079e-05 5.864e-07
     316 4.710e-05 5.030e-05 4.869e-05 8.018e-07
     398 7.540e-05 8.090e-05 7.793e-05 1.261e-06
     501 1.197e-04 1.272e-04 1.228e-04 1.692e-06
     631 1.909e-04 2.032e-04 1.959e-04 3.041e-06
     794 3.044e-04 3.312e-04 3.122e-04 5.372e-06
    1000 4.848e-04 5.492e-04 4.980e-04 1.270e-05
    1259 7.702e-04 8.125e-04 7.867e-04 1.012e-05
    1585 1.228e-03 1.834e-03 1.358e-03 1.697e-04
    1995 1.973e-03 2.922e-03 2.224e-03 2.497e-04
    2512 3.116e-03 3.625e-03 3.264e-03 1.446e-04
    3162 4.957e-03 7.216e-03 5.435e-03 6.582e-04
    3981 7.894e-03 1.144e-02 8.777e-03 1.076e-03
    5012 1.244e-02 1.525e-02 1.297e-02 6.448e-04
    6310 1.973e-02 2.467e-02 2.075e-02 1.118e-03
    7943 3.161e-02 3.861e-02 3.414e-02 1.868e-03
   10000 5.008e-02 5.936e-02 5.279e-02 2.466e-03
#------- --------- --------- --------- ---------


