# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.000e-07 5.000e-07 4.160e-07 3.666e-08
      13 4.000e-07 6.000e-07 5.070e-07 3.809e-08
      16 6.000e-07 8.000e-07 6.480e-07 5.913e-08
      20 8.000e-07 1.000e-06 8.360e-07 5.200e-08
      25 1.000e-06 1.200e-06 1.117e-06 5.110e-08
      32 1.500e-06 1.700e-06 1.635e-06 5.723e-08
      40 2.200e-06 2.500e-06 2.349e-06 5.567e-08
      50 3.400e-06 3.600e-06 3.473e-06 6.761e-08
      63 5.100e-06 5.300e-06 5.193e-06 6.965e-08
      79 7.900e-06 8.200e-06 8.021e-06 7.784e-08
     100 1.150e-05 1.280e-05 1.228e-05 4.199e-07
     126 1.790e-05 1.840e-05 1.807e-05 1.083e-07
     158 2.790e-05 2.840e-05 2.814e-05 1.192e-07
     200 4.470e-05 7.500e-05 4.674e-05 4.667e-06
     251 7.060e-05 7.120e-05 7.085e-05 1.432e-07
     316 1.122e-04 1.129e-04 1.125e-04 1.664e-07
     398 1.788e-04 1.832e-04 1.792e-04 5.530e-07
     501 2.845e-04 2.975e-04 2.864e-04 3.433e-06
     631 4.530e-04 4.642e-04 4.552e-04 3.715e-06
     794 7.197e-04 7.517e-04 7.240e-04 6.410e-06
    1000 1.145e-03 1.224e-03 1.162e-03 1.865e-05
    1259 1.820e-03 1.858e-03 1.830e-03 1.038e-05
    1585 2.891e-03 3.054e-03 2.915e-03 3.136e-05
    1995 4.594e-03 4.925e-03 4.658e-03 7.737e-05
    2512 7.310e-03 7.833e-03 7.424e-03 1.202e-04
    3162 1.162e-02 1.244e-02 1.184e-02 2.140e-04
    3981 1.843e-02 1.970e-02 1.872e-02 2.899e-04
    5012 2.923e-02 3.121e-02 2.968e-02 4.759e-04
    6310 4.649e-02 4.906e-02 4.731e-02 6.187e-04
    7943 7.373e-02 7.848e-02 7.521e-02 1.005e-03
   10000 1.167e-01 1.208e-01 1.181e-01 1.055e-03
#------- --------- --------- --------- ---------


