# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.000e-07 5.000e-07 4.190e-07 5.234e-08
      13 4.000e-07 6.000e-07 4.940e-07 5.800e-08
      16 5.000e-07 7.000e-07 6.130e-07 6.427e-08
      20 7.000e-07 9.000e-07 7.570e-07 6.820e-08
      25 9.000e-07 1.100e-06 9.840e-07 7.031e-08
      32 1.200e-06 1.500e-06 1.364e-06 9.541e-08
      40 1.600e-06 2.200e-06 1.875e-06 1.367e-07
      50 2.300e-06 3.000e-06 2.693e-06 1.722e-07
      63 3.700e-06 4.500e-06 4.061e-06 2.111e-07
      79 5.400e-06 6.300e-06 5.833e-06 2.446e-07
     100 7.600e-06 9.300e-06 8.572e-06 4.881e-07
     126 9.100e-06 1.020e-05 9.628e-06 3.014e-07
     158 1.310e-05 1.470e-05 1.371e-05 3.602e-07
     200 1.880e-05 2.040e-05 1.959e-05 4.031e-07
     251 2.710e-05 2.880e-05 2.799e-05 4.678e-07
     316 3.910e-05 5.090e-05 4.103e-05 2.313e-06
     398 5.700e-05 6.810e-05 5.918e-05 2.355e-06
     501 8.440e-05 8.940e-05 8.659e-05 1.180e-06
     631 1.256e-04 1.763e-04 1.313e-04 7.794e-06
     794 1.910e-04 3.213e-04 2.544e-04 4.845e-05
    1000 2.891e-04 3.078e-04 2.968e-04 4.390e-06
    1259 4.457e-04 6.188e-04 4.661e-04 3.759e-05
    1585 6.863e-04 7.178e-04 6.989e-04 7.911e-06
    1995 1.059e-03 1.298e-03 1.100e-03 4.591e-05
    2512 1.657e-03 2.559e-03 1.834e-03 2.404e-04
    3162 2.576e-03 3.232e-03 2.699e-03 1.655e-04
    3981 4.076e-03 5.015e-03 4.315e-03 2.202e-04
    5012 6.387e-03 8.639e-03 6.871e-03 5.555e-04
    6310 1.017e-02 1.561e-02 1.157e-02 1.495e-03
    7943 1.618e-02 1.968e-02 1.705e-02 8.701e-04
   10000 2.587e-02 3.257e-02 2.729e-02 1.447e-03
#------- --------- --------- --------- ---------


