# tree_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.000e-07 6.000e-07 4.980e-07 5.653e-08
      13 5.000e-07 8.000e-07 5.910e-07 7.084e-08
      16 6.000e-07 8.000e-07 7.090e-07 6.648e-08
      20 8.000e-07 1.000e-06 8.740e-07 7.017e-08
      25 9.000e-07 1.300e-06 1.067e-06 8.609e-08
      32 1.200e-06 1.600e-06 1.359e-06 8.843e-08
      40 1.500e-06 1.900e-06 1.692e-06 1.036e-07
      50 2.000e-06 2.400e-06 2.171e-06 1.275e-07
      63 2.700e-06 3.200e-06 2.923e-06 1.555e-07
      79 3.400e-06 4.000e-06 3.678e-06 1.700e-07
     100 4.600e-06 5.200e-06 4.880e-06 1.685e-07
     126 5.700e-06 6.700e-06 6.128e-06 2.346e-07
     158 6.600e-06 7.600e-06 7.062e-06 2.331e-07
     200 8.700e-06 9.800e-06 9.142e-06 2.426e-07
     251 1.110e-05 1.220e-05 1.167e-05 2.747e-07
     316 1.460e-05 1.590e-05 1.509e-05 3.173e-07
     398 1.860e-05 2.010e-05 1.936e-05 3.927e-07
     501 2.430e-05 2.580e-05 2.497e-05 4.026e-07
     631 3.110e-05 3.320e-05 3.200e-05 5.532e-07
     794 4.050e-05 4.290e-05 4.162e-05 6.197e-07
    1000 5.210e-05 5.470e-05 5.350e-05 7.274e-07
    1259 6.760e-05 7.100e-05 6.901e-05 8.447e-07
    1585 8.670e-05 1.434e-04 9.590e-05 1.307e-05
    1995 1.129e-04 1.378e-04 1.166e-04 4.674e-06
    2512 1.484e-04 1.661e-04 1.526e-04 3.326e-06
    3162 1.943e-04 2.338e-04 1.994e-04 5.880e-06
    3981 2.548e-04 2.955e-04 2.719e-04 8.837e-06
    5012 3.320e-04 3.472e-04 3.379e-04 3.881e-06
    6310 4.343e-04 4.622e-04 4.442e-04 5.646e-06
    7943 5.720e-04 7.060e-04 5.976e-04 2.951e-05
   10000 7.429e-04 9.292e-04 7.911e-04 5.045e-05
#------- --------- --------- --------- ---------


